training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
1347.0,200.0,0.0,18766,135,79,Fold06,0.5851851851851851,0.41481481481481486
1347.0,200.0,0.0,18766,135,79,Fold07,0.5851851851851851,0.41481481481481486
1347.0,200.0,0.0,18766,134,78,Fold08,0.582089552238806,0.417910447761194
1347.0,200.0,0.0,18766,134,78,Fold09,0.582089552238806,0.417910447761194
1347.0,200.0,0.0,18766,134,78,Fold10,0.582089552238806,0.417910447761194
108.0,500.0,0.0,68161,11,6,Fold01,0.5454545454545454,0.4545454545454546
108.0,500.0,0.0,68161,11,6,Fold02,0.5454545454545454,0.4545454545454546
108.0,500.0,0.0,68161,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,500.0,0.0,68161,11,6,Fold04,0.5454545454545454,0.4545454545454546
108.0,500.0,0.0,68161,11,6,Fold05,0.5454545454545454,0.4545454545454546
